x_cat	y_cat	est_x	est_y
9.86457  44.0959  -2.00124  -13.7437
9.86457  44.0959  -2.00094  -13.7431
9.86457  44.0959  -2.00266  -13.7407
9.86457  44.0959  -2.00562  -13.7382
9.86457  44.0959  -2.0126  -13.7332
9.86457  44.0959  -2.02548  -13.7303
9.86457  44.0959  -2.04102  -13.727
9.86457  44.0959  -2.0593  -13.7258
9.86457  44.0959  -2.06862  -13.7121
9.86457  44.0959  -2.09324  -13.7181
9.86457  44.0959  -2.11379  -13.7141
9.86457  44.0959  -2.11654  -13.6958
9.86457  44.0959  -2.12031  -13.688
9.86457  44.0959  -2.11572  -13.6726
9.86457  44.0959  -2.11337  -13.6653
9.86457  44.0959  -2.10895  -13.6658
9.86457  44.0959  -2.10853  -13.6705
9.86457  44.0959  -2.09721  -13.6663
9.86457  44.0959  -2.08786  -13.6659
9.86457  44.0959  -2.08281  -13.6653
9.86457  44.0959  -2.07407  -13.6552
9.86457  44.0959  -2.07169  -13.6441
9.86457  44.0959  -2.10262  -13.6513
9.86457  44.0959  -2.13919  -13.6571
9.86457  44.0959  -2.1802  -13.6612
9.86457  44.0959  -2.21781  -13.6642
9.86457  44.0959  -2.25989  -13.667
9.86457  44.0959  -2.29625  -13.6656
9.86457  44.0959  -2.32628  -13.6655
9.86457  44.0959  -2.36466  -13.67
9.86457  44.0959  -2.38039  -13.6703
9.86457  44.0959  -2.37761  -13.6697
9.86457  44.0959  -2.37136  -13.671
9.86457  44.0959  -2.39038  -13.6918
9.86457  44.0959  -2.42655  -13.7282
9.86457  44.0959  -2.45122  -13.7553
9.86457  44.0959  -2.46879  -13.7782
9.86457  44.0959  -2.50206  -13.7935
9.86457  44.0959  -2.54951  -13.8046
9.86457  44.0959  -2.61094  -13.8269
9.86457  44.0959  -2.6704  -13.847
9.86457  44.0959  -2.72954  -13.866
9.86457  44.0959  -2.78226  -13.8867
9.86457  44.0959  -2.83126  -13.9082
9.86457  44.0959  -2.85522  -13.9181
9.86457  44.0959  -2.90519  -13.9459
9.86457  44.0959  -2.94883  -13.9746
9.86457  44.0959  -2.99205  -14.0114
9.86457  44.0959  -3.04143  -14.0582
9.86457  44.0959  -3.10368  -14.0995
9.86457  44.0959  -3.16835  -14.1325
9.86457  44.0959  -3.24317  -14.1686
9.86457  44.0959  -3.29666  -14.2012
9.86457  44.0959  -3.3671  -14.2395
9.86457  44.0959  -3.44408  -14.2783
9.86457  44.0959  -3.52375  -14.3176
9.86457  44.0959  -3.59997  -14.3536
9.86457  44.0959  -3.66545  -14.3867
9.86457  44.0959  -3.74286  -14.4249
9.86457  44.0959  -3.81369  -14.4723
9.86457  44.0959  -3.869  -14.5206
9.86457  44.0959  -3.92656  -14.5726
9.86457  44.0959  -3.98875  -14.6296
9.86457  44.0959  -4.04581  -14.6826
9.86457  44.0959  -4.10515  -14.7363
9.86457  44.0959  -4.16644  -14.7876
9.86457  44.0959  -4.23448  -14.8347
9.86457  44.0959  -4.3302  -14.8851
9.86457  44.0959  -4.4374  -14.9413
9.86457  44.0959  -4.54851  -14.9984
9.86457  44.0959  -4.65172  -15.0556
9.86457  44.0959  -4.74992  -15.119
9.86457  44.0959  -4.848  -15.1894
9.86457  44.0959  -4.93486  -15.2601
9.86457  44.0959  -5.01416  -15.3314
9.86457  44.0959  -5.09155  -15.4022
9.86457  44.0959  -5.16149  -15.4678
9.86457  44.0959  -5.2315  -15.5289
9.86457  44.0959  -5.2961  -15.5869
9.86457  44.0959  -5.35638  -15.6404
9.86457  44.0959  -5.43055  -15.6941
9.86457  44.0959  -5.51589  -15.7524
9.86457  44.0959  -5.58759  -15.7897
9.86457  44.0959  -5.65735  -15.8442
9.86457  44.0959  -5.73897  -15.904
9.86457  44.0959  -5.79494  -15.9501
9.86457  44.0959  -5.86013  -15.9903
9.86457  44.0959  -5.94675  -16.0566
9.86457  44.0959  -6.00583  -16.1143
9.86457  44.0959  -6.09562  -16.1793
9.86457  44.0959  -6.17387  -16.2437
9.86457  44.0959  -6.23815  -16.2999
9.86457  44.0959  -6.30791  -16.36
9.86457  44.0959  -6.38983  -16.4186
9.86457  44.0959  -6.47552  -16.4672
9.86457  44.0959  -6.56135  -16.5102
9.86457  44.0959  -6.65466  -16.558
9.86457  44.0959  -6.73405  -16.605
9.86457  44.0959  -6.82043  -16.6574
9.86457  44.0959  -6.89391  -16.7066
9.86457  44.0959  -6.97566  -16.7706
9.86457  44.0959  -7.02733  -16.8339
9.86457  44.0959  -7.06697  -16.8806
9.86457  44.0959  -7.12181  -16.9566
9.86457  44.0959  -7.14728  -17.0178
9.86457  44.0959  -7.1773  -17.0715
9.86457  44.0959  -7.21791  -17.1248
